"country","city","business_category","subcategory","business_type","example_businesses_to_find","target_customer","problem","app_opportunity","data_fields_needed","revenue_model","lead_value_score","tender_relevance_score","research_priority","sources_to_search","notes"
"Uganda","Kampala","Construction and contractors","Heavy construction","B2B/B2G","Road contractors; civil engineers","Government; NGOs; real estate developers","Finding sub-contractors; tender visibility","Tender matching; sub-contractor directory","company_name; registration_number; phone; email; specialties; past_projects; verification_status","Tender subscription; lead matching fee","10","10","High","PPDA portal; URSB; Ministry of Works; Google Maps","High-value wedge. Start with verified tender prospects and contractors."
"Uganda","Kampala","Tender suppliers and procurement vendors","General supplies","B2B/B2G","Stationery suppliers; IT equipment suppliers; furniture suppliers","Government ministries; NGOs; schools; hospitals","Finding tenders early; understanding bid requirements","Tender alert platform; bid preparation guides; supplier lead lists","company_name; categories; registration_status; phone; email; whatsapp; source_url; verification_status","Monthly tender alerts subscription","10","10","High","PPDA; New Vision; Daily Monitor; UNGM; ReliefWeb","Most direct first paid offer for Business Yoo."
"Uganda","Kampala","Hardware and building materials","Cement and steel distributors","B2B/B2C","Hardware shops; steel distributors; roofing suppliers","Contractors; home builders; small developers","Price volatility; stock visibility; trusted supplier discovery","Supplier directory; material price tracker; WhatsApp lead routing","name; location; product_lines; phone; whatsapp; delivery_area; verification_status","Supplier premium listing; lead routing fee","9","8","High","Ndeeba hardware streets; Kikuubo; Google Maps; UMA","Strong connection to construction tender and supplier demand."
"Uganda","Wakiso","Agriculture and agribusiness","Poultry and animal feeds","B2B/B2C","Feed distributors; poultry input shops; veterinary suppliers","Poultry farmers; dairy farmers; beginner agribusiness owners","Finding quality feeds; avoiding fake inputs; market access","Supplier directory; where-to-buy guides; input price board","name; location; feed_types; brands; phone; whatsapp; verification_status","Paid guides; supplier listings; WhatsApp leads","8","4","High","Farmer groups; district agro-shops; Google Maps","Ties directly to existing Uganda Business Ideas content."
"Uganda","Entebbe","Hotels restaurants bars tourism","Tour operators and airport services","B2B/B2C","Tour operators; airport transfer providers; guest houses","Tourists; diaspora; corporates; event planners","Lead generation; booking visibility; trust","Tourism supplier directory; referral partnerships","name; registration_status; packages; phone; whatsapp; website; verification_status","Lead commission; featured placements","9","5","High","Uganda Tourism Board; TripAdvisor; Google Maps; social media","Useful later, but not the first paid wedge."
"Uganda","Mbarara","Agriculture and agribusiness","Dairy and value addition","B2B","Milk coolers; dairy processors; yogurt producers","Retailers; supermarkets; dairy farmers","Supply chain logistics; finding buyers; equipment discovery","Agri-buyer directory; dairy equipment supplier directory","name; production_capacity; location; phone; buyer_type; verification_status","Supplier listings; equipment adverts","8","5","Medium","Dairy Development Authority; cooperatives; Google Maps","Western Uganda dairy hub."
"Uganda","Jinja","Manufacturing","Industrial processing","B2B/B2G","Steel rollers; cooking oil mills; industrial processors","Wholesalers; contractors; distributors","Raw material sourcing; distribution visibility","Industrial directory; wholesale matching","name; output_capacity; certifications; contact; product_lines; verification_status","Premium directory listings; B2B lead matching","9","7","Medium","Uganda Manufacturers Association; Google Maps; industrial area listings","Jinja is a strong manufacturing hub."
"Uganda","Arua","Import export","Cross-border trade","B2B","General merchandise traders; forex bureaus; clearing agents","DRC and South Sudan cross-border traders","Customs information; logistics trust; supplier discovery","Cross-border trade hub directory; logistics guides","name; commodities_traded; routes; phone; location; verification_status","Logistics ads; forex agency ads; lead matching","8","6","Medium","Border customs data; local trading centers; Google Maps","Important for DRC and South Sudan expansion."
"Uganda","Hoima","Real estate and property services","Commercial property and land services","B2C/B2B","Property agents; surveyors; land lawyers","Oil industry workers; investors; diaspora buyers","Trust; title verification; fraud risk","Verified professional directory; land verification guides","name; registration_number; profession; portfolio; phone; whatsapp; verification_status","Verification badge; featured listings; due diligence reports","9","5","Medium","Real estate associations; local councils; referrals","Use strict verification. Do not scrape private land registries."
"Kenya","Nairobi","ICT and software services","SMEs needing CRM and AI","B2B","Tech agencies; software vendors; automation consultants","Local SMEs; startups; regional companies","Digital transformation vendor trust","Tech vendor directory; B2B matchmaking; agency lead list","name; services; pricing_range; portfolio_url; contact; verification_status","B2B lead matching commission; agency services","10","8","High","LinkedIn; iHub; Clutch; Google Maps","Kenya second, mostly for tender volume and regional B2B signal."
"Kenya","Mombasa","Transport and logistics","Freight and clearing","B2B","Clearing agents; haulage truck operators; warehouse providers","Importers bound for Uganda Rwanda DRC South Sudan","Delays; trusted clearing agent discovery","Logistics directory; verified badges; route guides","name; registration_number; routes; fleet_size; email; phone; verification_status","Verification fee; premium placement; logistics leads","10","9","High","KPA lists; customs agent lists; Google Maps","Crucial node for East African imports."
"Tanzania","Dar es Salaam","Import export","Port clearing and forwarding","B2B","Transit agents; port logistics providers","Regional importers; wholesalers; manufacturers","Port bureaucracy; trusted agent discovery","Port agent directory; transit guides","name; registration_status; services; phone; whatsapp; verification_status","Featured listings; paid logistics guides","9","8","Medium","Tanzania Ports Authority; trade directories; Google Maps","Useful after Uganda and Kenya are working."
"Rwanda","Kigali","Professional services","Legal and accounting","B2B/B2G","Audit firms; corporate lawyers; company secretaries","Investors; NGOs; startups","Company registration; tax compliance; trusted advisor discovery","Investor landing pad directory; professional services matching","name; certifications; services; partners; email; verification_status","High-ticket lead generation; retainer adverts","9","7","High","RDB lists; LinkedIn; Google Maps","Good future market, not MVP day one."
"South Sudan","Juba","NGOs and development suppliers","Procurement and logistics","B2B/B2G","Camp suppliers; water purifier suppliers; logistics firms","UN agencies; international NGOs; contractors","Navigating procurement; finding compliant local vendors","NGO supplier directory; tender alerts","name; registration_status; supply_categories; email; phone; verification_status","Tender subscription; premium vendor lists","10","10","Medium","UNGM; ReliefWeb; NGO directories","High tender value, but harder market. Later expansion."
"Ethiopia","Addis Ababa","Manufacturing","Textile and light manufacturing","B2B","Garment factories; leather processors; light manufacturers","Regional buyers; global apparel brands","Export market access; buyer discovery","Export directory; B2B matching","name; capacity; certifications; contact; export_markets; verification_status","Export matching fees","8","6","Low","Ethiopian Investment Commission; trade directories","Large opportunity, not near-term."
"DRC","Goma","Hardware and building materials","Construction supply","B2B/B2C","Cement importers; steel traders; wholesalers","Local rebuilders; NGOs; contractors","Cross-border supply from Uganda and Rwanda","Cross-border supplier directory","name; border_clearance_capacity; product_lines; contacts; verification_status","Supplier ads targeting DRC market","8","7","Medium","Cross-border trade associations; Google Maps; referrals","Good for cross-border supplier leads after Uganda base is working."
"Uganda","Gulu","NGOs and development suppliers","Agri-NGO suppliers","B2B/B2G","Seed distributors; tractor hire; borehole contractors","USAID; WFP; NGOs; district buyers","NGO tender visibility; local sourcing","Tender and grant directory; local supplier base","name; district; capacity; phone; categories; verification_status","Tender alert subscriptions; NGO supplier listings","9","9","Medium","NGO Forum lists; district procurement; ReliefWeb","Northern Uganda has heavy NGO presence."
"Uganda","Kampala","Cleaning and laundry services","Commercial cleaning","B2B","Office cleaners; fumigators; laundry operators","Corporates; real estate managers; schools; clinics","Getting office contracts; trust; visibility","B2B service directory; lead routing","name; services; client_types; phone; whatsapp; verification_status","Starter listings; lead routing fee","7","8","High","Google Maps; URSB; referrals","Useful for supplier lead hub and agency outreach."
"Uganda","Kampala","Security services","Private security","B2B/B2C","Guarding companies; CCTV installers; alarm providers","Offices; homes; warehouses; schools","Trust; licensing; corporate contracts","Verified security directory","name; license_status; services; phone; operating_areas; verification_status","Premium listings; verification fees","8","8","Medium","Police registry where public; URSB; referrals","Trust and verification are the key value."
"Uganda","Kampala","Energy solar generators","Solar installers","B2B/B2C","Solar panel sellers; inverter installers; battery suppliers","Rural homes; factories; NGOs; schools","Finding quality panels; avoiding fake products","Verified solar directory; tender alerts","name; brands_stocked; services; phone; whatsapp; verification_status","Featured listings; lead generation","9","8","High","Uganda Solar Energy Association; Google Maps; NGO tenders","Strong tender and supplier crossover."
"Uganda","Mbale","Wholesale and retail","Produce buyers","B2B","Maize millers; bean wholesalers; produce buyers","Farmers; schools; traders","Market prices; bulk sourcing; buyer trust","Commodity price board; wholesale directory","name; buying_prices; capacity; phone; market; verification_status","Paid SMS or WhatsApp market price alerts","7","4","Low","Local produce markets; market leaders; farmer groups","Good Farm Beacon tie-in, but not first wedge."
"Uganda","Kampala","SMEs needing websites email CRM automation AI bookkeeping and lead generation","Digital transformation","B2B","Clinics; schools; hardware shops; SMEs without good websites","Local businesses","Modernizing; getting more customers; poor digital systems","Internal agency lead list; B2B digital services directory","name; owner; digital_presence; phone; website; pain_points; verification_status","Sell websites; CRM setup; WhatsApp AI bots; bookkeeping systems","10","3","High","Google Maps; Facebook pages; LinkedIn; existing directory","This is the agency monetization layer."
